phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1
PHASE1_TRAIN,2016-08-22,3,3,1,0.7762,0.8938,0.3411,0.167,0.1481
PHASE1_TRAIN,2017-01-17,3,3,1,0.775,0.9956,0.4597,0.2034,0.1984
PHASE1_TRAIN,2016-10-05,3,3,1,0.7748,1.0121,0.518,0.1853,0.1727
PHASE1_TRAIN,2017-04-04,3,3,1,0.7746,1.151,0.4856,0.2057,0.1992
PHASE1_TRAIN,2016-08-02,3,3,1,0.7745,0.9884,0.4982,0.1908,0.175
PHASE1_TRAIN,2016-12-28,3,3,1,0.7736,1.0414,0.4607,0.2031,0.1978
PHASE1_TRAIN,2016-08-01,3,3,1,0.7734,0.7728,0.5,0.5,0.3333
PHASE1_TRAIN,2016-10-26,3,3,1,0.7732,1.0109,0.467,0.195,0.1893
PHASE1_TRAIN,2017-10-10,3,3,1,0.7729,1.1359,0.4999,0.2061,0.1991
PHASE1_TRAIN,2016-09-19,3,3,1,0.7723,0.9813,0.5015,0.1843,0.1722
PHASE1_TRAIN,2021-12-24,3,3,1,0.7722,1.1999,0.4474,0.2086,0.1982
PHASE1_TRAIN,2016-10-14,3,3,1,0.7721,1.052,0.4619,0.1779,0.1679
PHASE1_TRAIN,2018-03-14,3,3,1,0.772,1.0989,0.4882,0.2113,0.2059
PHASE1_TRAIN,2016-08-05,3,3,1,0.7718,0.8848,0.3836,0.1734,0.1564
PHASE1_TRAIN,2016-07-29,3,3,1,0.7708,0.9148,0.4919,0.1867,0.1708
PHASE1_TRAIN,2016-08-15,3,3,1,0.7708,1.0451,0.5086,0.1891,0.1744
PHASE1_TRAIN,2016-08-02,3,3,1,0.7706,0.9133,0.5068,0.1873,0.1725
PHASE1_TRAIN,2017-01-20,3,3,1,0.7704,1.0777,0.4672,0.2043,0.199
PHASE1_TRAIN,2017-10-02,3,3,1,0.7704,1.1709,0.4996,0.2061,0.1991
PHASE1_TRAIN,2016-08-31,3,3,1,0.7697,1.0607,0.4929,0.1835,0.1715
PHASE1_TRAIN,2017-10-09,3,3,1,0.7697,1.1371,0.4998,0.2061,0.1991
PHASE1_TRAIN,2016-09-26,3,3,1,0.7694,1.0549,0.4876,0.1793,0.1675
PHASE1_TRAIN,2017-09-28,3,3,1,0.7691,1.1247,0.4971,0.2055,0.1985
PHASE1_TRAIN,2016-08-30,3,3,1,0.7687,0.9827,0.4172,0.1785,0.1619
PHASE1_TRAIN,2017-01-12,3,3,1,0.7684,1.0386,0.4593,0.2033,0.1983
PHASE1_TRAIN,2016-10-19,3,3,1,0.7681,1.0625,0.4684,0.187,0.179
PHASE1_TRAIN,2017-02-06,3,3,1,0.7678,1.0647,0.46,0.2038,0.1989
PHASE1_TRAIN,2016-08-17,3,3,1,0.7676,1.1104,0.5226,0.1812,0.1682
PHASE1_TRAIN,2016-08-11,3,3,1,0.7673,0.9547,0.4402,0.1841,0.1666
PHASE1_TRAIN,2016-07-25,3,3,1,0.7672,0.9975,0.5433,0.1903,0.1766
PHASE1_TRAIN,2016-08-09,3,3,1,0.7669,0.9658,0.4314,0.1849,0.1693
PHASE1_TRAIN,2016-10-25,3,3,1,0.7667,1.1145,0.4664,0.1842,0.1757
PHASE1_TRAIN,2016-10-21,3,3,1,0.7666,1.1003,0.4694,0.1889,0.1808
PHASE1_TRAIN,2016-08-19,3,3,1,0.7663,1.1301,0.4938,0.1859,0.1699
PHASE1_TRAIN,2017-08-25,3,3,1,0.7661,1.0195,0.4974,0.2072,0.2009
PHASE1_TRAIN,2016-09-08,2,2,1,0.7659,0.9971,0.5129,0.1858,0.1733
PHASE1_TRAIN,2017-04-12,3,3,1,0.7658,1.1,0.4847,0.2059,0.1996
PHASE1_TRAIN,2016-08-08,3,3,1,0.7648,0.8472,0.3714,0.2476,0.2337
PHASE1_TRAIN,2017-09-26,3,3,1,0.7641,1.1569,0.4993,0.206,0.199
PHASE1_TRAIN,2017-03-28,3,3,1,0.7639,1.1855,0.4849,0.2056,0.1991
PHASE1_TRAIN,2016-11-10,1,1,1,0.7636,1.0401,0.4684,0.1903,0.1822
PHASE1_TRAIN,2016-12-01,2,2,1,0.7632,1.1076,0.462,0.1971,0.1913
PHASE1_TRAIN,2017-04-11,3,3,1,0.7632,1.1545,0.4916,0.2054,0.1986
PHASE1_TRAIN,2017-11-30,3,3,1,0.763,1.1713,0.4993,0.2068,0.1994
PHASE1_TRAIN,2017-09-29,3,3,1,0.7628,1.1925,0.4995,0.2061,0.1991
PHASE1_TRAIN,2017-05-04,3,3,1,0.7627,1.1296,0.4989,0.2072,0.2009
PHASE1_TRAIN,2016-07-29,3,3,1,0.7626,1.0765,0.5446,0.1897,0.1772
PHASE1_TRAIN,2017-04-17,3,3,1,0.762,1.116,0.485,0.2059,0.1997
PHASE1_TRAIN,2017-04-07,3,3,1,0.7618,1.1077,0.4937,0.207,0.2008
PHASE1_TRAIN,2016-10-17,3,3,1,0.7616,1.0995,0.4667,0.1889,0.1809
PHASE1_TRAIN,2016-10-25,3,3,1,0.7615,1.0939,0.4683,0.1892,0.1813
PHASE1_TRAIN,2018-03-12,3,3,1,0.7611,1.0892,0.488,0.2113,0.2059
PHASE1_TRAIN,2016-09-22,3,3,1,0.761,1.0742,0.4905,0.1826,0.1702
PHASE1_TRAIN,2017-09-29,3,3,1,0.7609,1.163,0.4972,0.2055,0.1985
PHASE1_TRAIN,2016-09-19,3,3,1,0.7606,1.0943,0.4897,0.1817,0.1691
PHASE1_TRAIN,2016-10-05,3,3,1,0.76,1.0385,0.4917,0.1805,0.1684
PHASE1_TRAIN,2016-08-10,3,3,1,0.7598,1.1247,0.5439,0.1885,0.1765
PHASE1_TRAIN,2016-08-11,3,3,1,0.7596,0.9268,0.4369,0.1859,0.1705
PHASE1_TRAIN,2016-08-29,3,3,1,0.7595,0.8683,0.3507,0.1678,0.1497
PHASE1_TRAIN,2016-10-17,3,3,1,0.7594,1.1321,0.4665,0.195,0.1893
PHASE1_TRAIN,2016-11-08,3,3,1,0.7594,1.157,0.4684,0.1973,0.1919
PHASE1_TRAIN,2017-03-14,3,3,1,0.7589,1.1144,0.4811,0.2056,0.1995
PHASE1_TRAIN,2017-11-10,3,3,1,0.7589,1.1035,0.5002,0.2064,0.1991
PHASE1_TRAIN,2016-10-17,3,3,1,0.7587,1.06,0.4676,0.1868,0.1788
PHASE1_TRAIN,2016-08-18,3,3,1,0.7586,0.8651,0.4519,0.186,0.169
PHASE1_TRAIN,2017-04-10,3,3,1,0.7583,1.1545,0.4873,0.2056,0.1989
PHASE1_TRAIN,2017-01-20,3,3,1,0.7581,1.1183,0.4741,0.2043,0.1986
PHASE1_TRAIN,2016-09-06,3,3,1,0.7576,1.1052,0.4918,0.1841,0.172
PHASE1_TRAIN,2017-01-23,3,3,1,0.7574,1.089,0.4663,0.2044,0.1993
PHASE1_TRAIN,2017-03-10,3,3,1,0.7574,1.1363,0.4817,0.2054,0.1991
PHASE1_TRAIN,2016-08-23,3,3,1,0.7571,1.0162,0.5079,0.186,0.1716
PHASE1_TRAIN,2016-08-16,3,3,1,0.7559,1.0535,0.4717,0.1871,0.1705
PHASE1_TRAIN,2016-10-18,3,3,1,0.7558,1.0715,0.4636,0.1787,0.1686
PHASE1_TRAIN,2017-04-04,3,3,1,0.7557,1.1783,0.4894,0.2052,0.1984
PHASE1_TRAIN,2016-08-18,3,3,1,0.7554,0.8086,0.4,0.2963,0.2804
PHASE1_TRAIN,2016-09-28,3,3,1,0.7553,1.079,0.4885,0.1829,0.1706
PHASE1_TRAIN,2016-07-22,3,3,1,0.7546,1.0433,0.5424,0.1902,0.1765
PHASE1_TRAIN,2016-09-02,3,3,1,0.7545,1.1019,0.4943,0.1809,0.1688
PHASE1_TRAIN,2016-09-06,3,3,1,0.7545,1.0768,0.4667,0.1793,0.169
PHASE1_TRAIN,2016-08-10,3,3,1,0.7539,0.9439,0.4378,0.1837,0.1661
PHASE1_TRAIN,2016-09-19,3,3,1,0.7535,1.0606,0.4916,0.184,0.1714
PHASE1_TRAIN,2017-06-16,3,3,1,0.7532,1.2278,0.503,0.2077,0.2017
PHASE1_TRAIN,2016-09-06,3,3,1,0.7531,1.0918,0.4654,0.1789,0.1687
PHASE1_TRAIN,2016-10-28,3,3,1,0.7529,1.0438,0.467,0.195,0.1892
PHASE1_TRAIN,2016-09-21,3,3,1,0.7525,0.9943,0.489,0.1832,0.1709
PHASE1_TRAIN,2016-09-30,3,3,1,0.7525,1.0723,0.4647,0.1783,0.1679
