phase,symbol,date,sample_key,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1,prob_vector,expert_weights,expert_preds,expert_conf,feature_oc_return,feature_day_range_pct
PHASE1_TRAIN,ABBV,2016-08-29,ABBV|2016-08-29,3,3,1,0.6176,1.7233,0.6,0.4167,0.4168,"[0.095077, 0.098284, 0.617631, 0.102797, 0.086212]","{'sgd': 0.07919, 'pa': 0.83199, 'gnb': 0.04441, 'rule': 0.04441}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.6802, 'gnb': 0.2, 'rule': 0.8506}",-0.000463,0.01391
PHASE1_TRAIN,ABBV,2016-08-30,ABBV|2016-08-30,3,3,1,0.7622,1.2505,0.6053,0.4184,0.4184,"[0.035488, 0.070877, 0.762151, 0.082342, 0.049142]","{'sgd': 0.06778, 'pa': 0.84242, 'gnb': 0.0449, 'rule': 0.0449}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.8515, 'gnb': 0.2, 'rule': 0.896}",0.002496,0.00965
PHASE1_TRAIN,ADBE,2016-07-22,ADBE|2016-07-22,1,3,0,0.8755,0.7367,0.5974,0.4074,0.4116,"[0.035382, 0.009411, 0.875481, 0.069546, 0.010179]","{'sgd': 0.05797, 'pa': 0.8523, 'gnb': 0.04487, 'rule': 0.04487}","{'sgd': 1, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3333, 'pa': 0.9922, 'gnb': 0.2, 'rule': 0.8987}",0.00864,0.01081
PHASE1_TRAIN,ADBE,2016-07-25,ADBE|2016-07-25,3,3,1,0.7275,1.2915,0.6026,0.409,0.4132,"[0.080653, 0.018138, 0.727525, 0.141048, 0.032635]","{'sgd': 0.06681, 'pa': 0.83037, 'gnb': 0.05171, 'rule': 0.05111}","{'sgd': 4, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8612, 'gnb': 0.2, 'rule': 0.9102}",-0.004706,0.008899
PHASE1_TRAIN,ADBE,2016-07-26,ADBE|2016-07-26,3,3,1,0.7197,1.314,0.6076,0.4106,0.4147,"[0.105701, 0.015426, 0.719658, 0.127406, 0.031809]","{'sgd': 0.0579, 'pa': 0.85119, 'gnb': 0.04546, 'rule': 0.04546}","{'sgd': 4, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8324, 'gnb': 0.2, 'rule': 0.8977}",0.00472,0.014503
PHASE1_TRAIN,ADBE,2016-07-27,ADBE|2016-07-27,3,3,1,0.5699,1.5417,0.6125,0.4121,0.4161,"[0.293062, 0.013239, 0.569938, 0.089894, 0.033867]","{'sgd': 0.0495, 'pa': 0.86081, 'gnb': 0.04485, 'rule': 0.04485}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3334, 'pa': 0.6315, 'gnb': 0.2, 'rule': 0.9592}",-0.000408,0.010418
PHASE1_TRAIN,ADBE,2016-07-28,ADBE|2016-07-28,3,3,1,0.8065,1.043,0.6173,0.4135,0.4175,"[0.083883, 0.012805, 0.806536, 0.066829, 0.029946]","{'sgd': 0.04954, 'pa': 0.86167, 'gnb': 0.04439, 'rule': 0.04439}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8669, 'gnb': 0.2, 'rule': 0.933}",0.00449,0.010565
PHASE1_TRAIN,ADBE,2016-07-29,ADBE|2016-07-29,3,3,1,0.7904,1.132,0.622,0.4149,0.4189,"[0.069153, 0.022978, 0.790443, 0.076696, 0.04073]","{'sgd': 0.04955, 'pa': 0.86175, 'gnb': 0.04435, 'rule': 0.04435}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8483, 'gnb': 0.2, 'rule': 0.955}",-0.002446,0.013489
PHASE1_TRAIN,ADBE,2016-08-01,ADBE|2016-08-01,3,3,1,0.853,0.8422,0.6265,0.4163,0.4202,"[0.020255, 0.017234, 0.853002, 0.086012, 0.023497]","{'sgd': 0.04955, 'pa': 0.86176, 'gnb': 0.04435, 'rule': 0.04435}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.949, 'gnb': 0.2, 'rule': 0.9162}",-0.002762,0.009643
PHASE1_TRAIN,ADBE,2016-08-02,ADBE|2016-08-02,2,3,0,0.7222,1.3134,0.619,0.4094,0.4146,"[0.014026, 0.124362, 0.722245, 0.101395, 0.037972]","{'sgd': 0.04955, 'pa': 0.86176, 'gnb': 0.04435, 'rule': 0.04435}","{'sgd': 4, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.7978, 'gnb': 0.2, 'rule': 0.9106}",-0.013759,0.023009
PHASE1_TRAIN,ADBE,2016-08-03,ADBE|2016-08-03,1,1,1,0.5694,1.5721,0.6235,0.4166,0.4219,"[0.56937, 0.015367, 0.285933, 0.086248, 0.043082]","{'sgd': 0.05147, 'pa': 0.84558, 'gnb': 0.05147, 'rule': 0.05147}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.5986, 'gnb': 0.2, 'rule': 0.9495}",0.006979,0.010655
PHASE1_TRAIN,ADBE,2016-08-04,ADBE|2016-08-04,3,3,1,0.4022,2.1336,0.6279,0.4179,0.4231,"[0.148857, 0.219426, 0.402249, 0.123178, 0.106291]","{'sgd': 0.05184, 'pa': 0.85165, 'gnb': 0.05184, 'rule': 0.04466}","{'sgd': 1, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.2, 'pa': 0.446, 'gnb': 0.2, 'rule': 0.9032}",-0.002073,0.011267
PHASE1_TRAIN,ADBE,2016-08-05,ADBE|2016-08-05,1,1,1,0.8405,0.9012,0.6322,0.4241,0.4295,"[0.840479, 0.011047, 0.070643, 0.059145, 0.018685]","{'sgd': 0.04504, 'pa': 0.86489, 'gnb': 0.04504, 'rule': 0.04504}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.9064, 'gnb': 0.2, 'rule': 0.9298}",0.019979,0.019991
